210101111;01;108289
210101099;01;107990
210103087;01;92595
210103125;01;83802
210104009;01;76907
210102046;01;75851
210103092;01;73908
210108026;01;70119
210107044;01;66569
210107099;01;66243
210104053;01;65512
210107067;01;63836
210107069;01;61267
210102029;01;60763
210101116;01;60076
210107071;01;59806
220123012;01;58240
210121069;01;56656
210103127;01;54336
210107001;01;53909
220101035;01;52692
210107034;01;51537
210103082;01;50639
210107016;01;47170
210107023;01;44981
220121073;01;33070
210103126;01;32337
220101035;02;105984
210102029;02;87831
210107069;02;72396
210101099;02;63592
220123012;02;61303
210103125;02;56976
210103127;02;51904
210101111;02;51183
210103082;02;43526
210102046;02;43285
210104009;02;42270
210103092;02;39306
210121069;02;37610
210107023;02;37404
210107099;02;36482
210101116;02;35128
210107016;02;34961
210108026;02;31621
210104053;02;31420
210107071;02;23264
210103087;02;22639
210107067;02;22204
210107044;02;20034
210107034;02;19901
210103126;02;19271
220121073;02;19148
210107001;02;18773
210107016;03;115720
210101116;03;83418
210101099;03;80016
210108026;03;63009
210103125;03;61320
220101035;03;52072
210102029;03;49467
210101111;03;45708
210103127;03;38187
210102046;03;37530
210107034;03;35723
210103092;03;33832
220123012;03;33769
210104009;03;33187
210121069;03;31954
210104053;03;28859
210107069;03;28398
210107071;03;24649
210103082;03;23052
210107067;03;22342
210103087;03;19743
210107044;03;19135
220121073;03;18662
210107099;03;18288
210107001;03;18213
210107023;03;18183
210103126;03;17267
210103125;04;113374
210107016;04;87714
210101116;04;67609
210103092;04;56929
210102029;04;55016
210101099;04;51525
210104009;04;48604
210101111;04;46667
210107044;04;45392
210107023;04;45240
210104053;04;44397
210103127;04;42690
210107067;04;39062
210107099;04;37600
210107069;04;37561
220101035;04;36551
210107071;04;36472
210108026;04;34881
210121069;04;32422
210103082;04;31331
210103087;04;27918
210102046;04;24794
210107034;04;19099
220123012;04;18108
210103126;04;17384
220121073;04;16642
210107001;04;16178
210103125;05;93786
210102029;05;61284
210121069;05;56262
210103092;05;52373
220123012;05;49573
210107069;05;48703
210104053;05;33932
210101099;05;33318
210107071;05;31987
210101111;05;31594
210101116;05;31262
210107067;05;31259
210102046;05;31023
210107016;05;30830
210107023;05;30824
210104009;05;30697
210103127;05;30428
210107034;05;30400
210103082;05;30140
220121073;05;30021
220101035;05;29972
210107044;05;29946
210107099;05;29863
210103087;05;29794
210107001;05;29433
210103126;05;29094
210108026;05;29065
210102029;06;98473
210104053;06;94344
210107099;06;79127
210104009;06;66381
210107016;06;65185
210101099;06;63724
210107034;06;63485
210107069;06;60860
220101035;06;59819
210103125;06;58342
210102046;06;55094
210108026;06;54219
210101116;06;50010
220123012;06;46025
210103092;06;45978
210121069;06;39939
210103127;06;37493
210101111;06;36643
210107071;06;35839
210103082;06;34207
210107001;06;34173
210103087;06;34066
210107067;06;33855
210107023;06;33688
210107044;06;33478
220121073;06;32970
210103126;06;32565
210107069;07;92776
210103125;07;58781
210104009;07;58169
220101035;07;53257
210102029;07;52758
210101116;07;51651
210104053;07;47436
210108026;07;44206
210107034;07;41932
210107099;07;40202
210103127;07;37666
210121069;07;35364
210107071;07;31087
210102046;07;29102
220123012;07;28420
210103082;07;28308
210107016;07;27137
210101099;07;25246
210107023;07;24888
210101111;07;23553
210107044;07;19949
210103092;07;19903
210107067;07;19675
210103087;07;19611
210103126;07;19196
220121073;07;18618
210107001;07;18502
210121069;08;109606
210103125;08;101585
210102029;08;93807
210101099;08;92252
210101116;08;91894
210107069;08;91397
210104053;08;84591
210103127;08;80867
220101035;08;77399
210107034;08;74207
210108026;08;73752
210107099;08;68395
210103092;08;64188
210107016;08;59271
210107044;08;47901
210107023;08;47718
210101111;08;47095
210107071;08;46124
210107001;08;38518
210103087;08;38158
220123012;08;38096
210107067;08;37998
210103082;08;37994
210102046;08;37649
220121073;08;37089
210104009;08;35933
210103126;08;35765
210103125;09;205229
210101116;09;184859
210107044;09;117105
210104053;09;106821
210102029;09;105118
220101035;09;90851
210121069;09;90766
210107071;09;82487
210107001;09;80067
210108026;09;71810
210107023;09;70047
210103082;09;68016
210107034;09;62038
220123012;09;61643
210107016;09;56146
210107069;09;55413
210103092;09;49649
210107099;09;49378
210101111;09;42735
210101099;09;36391
210104009;09;36242
210103087;09;35869
210103127;09;35010
210107067;09;34862
210103126;09;34745
210102046;09;34283
220121073;09;33696
210104053;10;91251
210102029;10;64226
210121069;10;64063
210103127;10;60032
210107034;10;49289
210103125;10;46041
210101116;10;44914
210104009;10;43724
210103092;10;37211
210107016;10;26119
210107099;10;25835
220101035;10;25534
210103082;10;25464
210107071;10;25273
210101111;10;25162
210107067;10;25052
210108026;10;25040
210107023;10;24930
210107069;10;24787
210101099;10;24747
210103087;10;24568
210102046;10;24521
220121073;10;24412
210107044;10;24375
210107001;10;24251
220123012;10;23978
210103126;10;23766
210103127;11;183589
210104053;11;149805
210121069;11;108070
210102029;11;101436
220123012;11;88471
210108026;11;76066
210107071;11;53779
210107069;11;53311
210101099;11;52056
210101111;11;51647
210103125;11;48668
210102046;11;46646
210107067;11;46151
210103087;11;45869
210107016;11;45622
210107034;11;45609
210107001;11;45457
210103092;11;45434
210103126;11;45195
210104009;11;44908
210107044;11;44853
210107099;11;44355
210107023;11;44055
210101116;11;43994
210103082;11;43879
220121073;11;43519
220101035;11;43518
