210101099;01;52056;1
210101099;02;59264;0
210101099;03;48726;0
210101099;04;63592;0
210101099;05;80016;0
210101099;06;51525;0
210101099;07;20282;1
210101099;08;13036;1
210101099;09;50377;0
210101099;10;13347;1
210101099;11;25246;1
210101099;12;56837;0
210101099;13;35415;0
210101099;14;19451;1
210101099;15;16940;1
210101099;16;24747;1
210101099;17;19518;1
210101099;18;14847;1
210101099;19;20469;1
210101099;20;17066;1
210101111;01;51647;1
210101111;02;43381;0
210101111;03;64908;0
210101111;04;51183;0
210101111;05;45708;0
210101111;06;46667;0
210101111;07;18723;1
210101111;08;12871;1
210101111;09;23234;1
210101111;10;13409;1
210101111;11;23553;1
210101111;12;29731;1
210101111;13;17364;1
210101111;14;23989;1
210101111;15;18746;1
210101111;16;25162;1
210101111;17;19256;1
210101111;18;15165;1
210101111;19;19478;1
210101111;20;15211;1
210101116;01;43994;1
210101116;02;44087;0
210101116;03;15989;1
210101116;04;35128;0
210101116;05;50830;0
210101116;06;67609;0
210101116;07;16631;1
210101116;08;14631;1
210101116;09;35913;0
210101116;10;14097;1
210101116;11;51651;0
210101116;12;59526;0
210101116;13;32368;0
210101116;14;81095;0
210101116;15;67498;0
210101116;16;44914;0
210101116;17;32588;0
210101116;18;36266;0
210101116;19;18138;1
210101116;20;15581;1
210102029;01;54405;0
210102029;02;46343;0
210102029;03;14420;1
210102029;04;53778;0
210102029;05;49467;0
210102029;06;55016;0
210102029;07;46071;0
210102029;08;15213;1
210102029;09;57640;0
210102029;10;40833;0
210102029;11;52758;0
210102029;12;60303;0
210102029;13;33504;0
210102029;14;55519;0
210102029;15;49599;0
210102029;16;64226;0
210102029;17;34053;0
210102029;18;47031;0
210102029;19;17843;1
210102029;20;15768;1
210102046;01;46646;1
210102046;02;50430;0
210102046;03;25421;0
210102046;04;43285;0
210102046;05;37530;0
210102046;06;24794;1
210102046;07;16900;1
210102046;08;14123;1
210102046;09;40585;0
210102046;10;14509;1
210102046;11;29102;0
210102046;12;22314;1
210102046;13;15335;1
210102046;14;19439;1
210102046;15;14844;1
210102046;16;24521;1
210102046;17;17213;1
210102046;18;15444;1
210102046;19;17561;1
210102046;20;16055;1
210103082;01;43879;1
210103082;02;35677;0
210103082;03;14962;1
210103082;04;43526;0
210103082;05;23052;1
210103082;06;31331;0
210103082;07;16970;1
210103082;08;13170;1
210103082;09;20811;1
210103082;10;13396;1
210103082;11;28308;0
210103082;12;23572;1
210103082;13;14422;1
210103082;14;41009;0
210103082;15;27007;0
210103082;16;25464;1
210103082;17;17293;1
210103082;18;15708;1
210103082;19;17460;1
210103082;20;15379;1
210103087;01;45869;1
210103087;02;52089;0
210103087;03;40506;0
210103087;04;22639;1
210103087;05;19743;1
210103087;06;27918;0
210103087;07;16154;1
210103087;08;13640;1
210103087;09;19952;1
210103087;10;14114;1
210103087;11;19611;1
210103087;12;22907;1
210103087;13;15251;1
210103087;14;19710;1
210103087;15;16159;1
210103087;16;24568;1
210103087;17;17912;1
210103087;18;15914;1
210103087;19;16388;1
210103087;20;16039;1
210103092;01;45434;1
210103092;02;48312;0
210103092;03;25596;0
210103092;04;39306;0
210103092;05;33832;0
210103092;06;56929;0
210103092;07;32475;0
210103092;08;19898;1
210103092;09;30878;0
210103092;10;15100;1
210103092;11;19903;1
210103092;12;49987;0
210103092;13;14201;1
210103092;14;35227;0
210103092;15;14422;1
210103092;16;37211;0
210103092;17;17326;1
210103092;18;16169;1
210103092;19;17329;1
210103092;20;16443;1
210103125;01;48668;1
210103125;02;40126;0
210103125;03;43676;0
210103125;04;56976;0
210103125;05;61320;0
210103125;06;67046;0
210103125;07;53674;0
210103125;08;40112;0
210103125;09;38951;0
210103125;10;19391;1
210103125;11;58781;0
210103125;12;70591;0
210103125;13;30994;0
210103125;14;58738;0
210103125;15;54125;0
210103125;16;46041;0
210103125;17;46328;0
210103125;18;50071;0
210103125;19;42295;0
210103125;20;23470;0
210103126;01;45195;1
210103126;02;17579;1
210103126;03;14758;1
210103126;04;19271;1
210103126;05;17267;1
210103126;06;17384;1
210103126;07;15220;1
210103126;08;13874;1
210103126;09;19353;1
210103126;10;13212;1
210103126;11;19196;1
210103126;12;21905;1
210103126;13;13860;1
210103126;14;20181;1
210103126;15;14564;1
210103126;16;23766;1
210103126;17;15739;1
210103126;18;15609;1
210103126;19;16374;1
210103126;20;15121;1
210103127;01;45242;1
210103127;02;39771;0
210103127;03;14565;1
210103127;04;51904;0
210103127;05;38187;0
210103127;06;42690;0
210103127;07;16606;1
210103127;08;13822;1
210103127;09;23480;1
210103127;10;14013;1
210103127;11;37666;0
210103127;12;58586;0
210103127;13;22281;0
210103127;14;20613;1
210103127;15;14397;1
210103127;16;60032;0
210103127;17;51538;0
210103127;18;45300;0
210103127;19;41509;0
210103127;20;15220;1
210104009;01;44908;1
210104009;02;33702;0
210104009;03;43205;0
210104009;04;42270;0
210104009;05;33187;0
210104009;06;48604;0
210104009;07;16568;1
210104009;08;14129;1
210104009;09;52831;0
210104009;10;13550;1
210104009;11;58169;0
210104009;12;21686;1
210104009;13;14247;1
210104009;14;19485;1
210104009;15;16757;1
210104009;16;43724;0
210104009;17;17022;1
210104009;18;14391;1
210104009;19;15644;1
210104009;20;14782;1
210104053;01;44058;1
210104053;02;44415;0
210104053;03;21097;1
210104053;04;31420;0
210104053;05;28859;0
210104053;06;44397;0
210104053;07;19038;1
210104053;08;14894;1
210104053;09;54983;0
210104053;10;39361;0
210104053;11;47436;0
210104053;12;68354;0
210104053;13;16237;1
210104053;14;55758;0
210104053;15;51063;0
210104053;16;48861;0
210104053;17;60433;0
210104053;18;45314;0
210104053;19;42390;0
210104053;20;18284;1
210107001;01;45457;1
210107001;02;39805;0
210107001;03;14104;1
210107001;04;18773;1
210107001;05;18213;1
210107001;06;16178;1
210107001;07;15710;1
210107001;08;13723;1
210107001;09;19960;1
210107001;10;14213;1
210107001;11;18502;1
210107001;12;23227;1
210107001;13;15291;1
210107001;14;52506;0
210107001;15;27561;0
210107001;16;24251;1
210107001;17;15757;1
210107001;18;15541;1
210107001;19;16126;1
210107001;20;15036;1
210107016;01;45622;1
210107016;02;31381;0
210107016;03;15789;1
210107016;04;34961;0
210107016;05;75237;0
210107016;06;87714;0
210107016;07;16325;1
210107016;08;14505;1
210107016;09;51834;0
210107016;10;13351;1
210107016;11;27137;1
210107016;12;44207;0
210107016;13;15064;1
210107016;14;41442;0
210107016;15;14704;1
210107016;16;26119;1
210107016;17;40483;0
210107016;18;15887;1
210107016;19;16068;1
210107016;20;16197;1
210107023;01;44055;1
210107023;02;31108;0
210107023;03;13873;1
210107023;04;37404;0
210107023;05;18183;1
210107023;06;45240;0
