210108026;20;30753;0
210103125;20;23470;0
210104053;20;18284;1
210107044;20;17548;1
210101099;20;17066;1
210121069;20;16783;1
210107069;20;16701;1
210107071;20;16695;1
210103092;20;16443;1
210107099;20;16234;1
210107016;20;16197;1
210102046;20;16055;1
210103087;20;16039;1
220101035;20;15920;1
210102029;20;15768;1
220123012;20;15703;1
210101116;20;15581;1
210103082;20;15379;1
210107023;20;15311;1
210107067;20;15260;1
210107034;20;15244;1
210103127;20;15220;1
210101111;20;15211;1
210103126;20;15121;1
220121073;20;15092;1
210107001;20;15036;1
210104009;20;14782;1
