210101111;01;108289
210101099;01;107990
210103087;01;92595
210103125;01;83802
210104009;01;76907
210102046;01;75851
210103092;01;73908
210108026;01;70119
210107044;01;66569
210107099;01;66243
210104053;01;65512
210107067;01;63836
210107069;01;61267
210102029;01;60763
210101116;01;60076
210107071;01;59806
220123012;01;58240
210121069;01;56656
210103127;01;54336
210107001;01;53909
220101035;01;52692
210107034;01;51537
210103082;01;50639
210107016;01;47170
210107023;01;44981
220121073;01;33070
210103126;01;32337
