210101099;01;1+0+1+0
210101099;02;1+0+0+0
210101099;03;1+0+0+0
210101099;04;1+1+0+0
210101099;05;0+0+0+0
210101099;06;0+0+0+0
210101099;07;0+0+0+0
210101099;08;1+0+0+0
210101099;09;0+0+0+0
210101099;10;0+0+0+0
210101099;11;0
210101111;01;1+0+1+0
210101111;02;0+0+0+0
210101111;03;0+0+0+0
210101111;04;1+0+0+0
210101111;05;0+0+0+0
210101111;06;0+0+0+0
210101111;07;0+0+0+0
210101111;08;0+0+0+0
210101111;09;0+0+0+0
210101111;10;0+0+0+0
210101111;11;0
210101116;01;1+0+1+1
210101116;02;1+1+1+1
210101116;03;1+0+0+0
210101116;04;1+1+1+1
210101116;05;0+0+0+0
210101116;06;0+0+0+0
210101116;07;1+1+1+1
210101116;08;1+1+1+0
210101116;09;1+1+1+1
210101116;10;1+1+1+1
210101116;11;0
210102029;01;1+0+1+1
210102029;02;1+0+0+0
210102029;03;1+0+0+0
210102029;04;1+1+0+0
210102029;05;1+0+0+0
210102029;06;0+0+0+0
210102029;07;1+1+1+1
210102029;08;1+1+1+1
210102029;09;1+1+1+1
210102029;10;1+1+1+1
210102029;11;0
210102046;01;1+0+1+0
210102046;02;0+0+0+0
210102046;03;0+0+0+0
210102046;04;1+0+0+0
210102046;05;0+0+0+0
210102046;06;0+0+0+0
210102046;07;0+0+0+0
210102046;08;0+0+0+0
210102046;09;0+0+0+0
210102046;10;0+0+0+0
210102046;11;0
210103082;01;1+0+1+0
210103082;02;1+0+0+0
210103082;03;0+0+0+0
210103082;04;1+1+0+0
210103082;05;0+0+0+0
210103082;06;0+0+0+0
210103082;07;0+0+0+0
210103082;08;0+0+0+0
210103082;09;0+0+0+0
210103082;10;0+0+0+0
210103082;11;0
210103087;01;1+1+1+0
210103087;02;0+0+0+0
210103087;03;0+0+0+0
210103087;04;1+1+0+0
210103087;05;0+0+0+0
210103087;06;0+0+0+0
210103087;07;0+0+0+0
210103087;08;0+0+0+0
210103087;09;0+0+0+0
210103087;10;0+0+0+0
210103087;11;0
210103092;01;1+0+1+0
210103092;02;0+0+0+0
210103092;03;0+0+0+0
210103092;04;1+0+0+0
210103092;05;1+0+0+0
210103092;06;0+0+0+0
210103092;07;0+0+0+0
210103092;08;0+0+0+0
210103092;09;0+0+0+0
210103092;10;0+0+0+0
210103092;11;0
210103125;01;1+0+1+0
210103125;02;0+0+0+0
210103125;03;0+0+0+0
